"Pclass" "Sex" "Age" "SibSp" "Parch" "Fare" "Embarked" "Classification1ErrorVector" "Classification2ErrorVector" "Classification3ErrorVector"
"82" 3 0 29.6991176470588 0 0 7.7875 "Q" 1 1 0
"83" 1 1 28 0 0 47.1 "S" 0 0 1
"84" 2 0 17 0 0 10.5 "S" 1 1 1
"85" 3 0 33 3 0 15.85 "S" 0 0 0
"86" 3 1 16 1 3 34.375 "S" 0 0 0
"87" 3 1 29.6991176470588 0 0 8.05 "S" 0 0 0
"88" 1 0 23 3 2 263 "S" 1 1 1
"89" 3 1 24 0 0 8.05 "S" 0 0 0
"90" 3 1 29 0 0 8.05 "S" 0 0 0
"91" 3 1 20 0 0 7.8542 "S" 0 0 0
"92" 1 1 46 1 0 61.175 "S" 0 0 0
"93" 3 1 26 1 2 20.575 "S" 0 0 0
"94" 3 1 59 0 0 7.25 "S" 0 0 0
"95" 3 1 29.6991176470588 0 0 8.05 "S" 0 0 0
"96" 1 1 71 0 0 34.6542 "C" 0 0 0
"97" 1 1 23 0 1 63.3583 "C" 0 1 1
"98" 2 0 34 0 1 23 "S" 1 1 1
"99" 2 1 34 1 0 26 "S" 0 0 0
"100" 3 0 28 0 0 7.8958 "S" 1 1 1
"101" 3 1 29.6991176470588 0 0 7.8958 "S" 0 0 0
"102" 1 1 21 0 1 77.2875 "S" 0 0 1
"103" 3 1 33 0 0 8.6542 "S" 0 0 0
"104" 3 1 37 2 0 7.925 "S" 0 0 0
"105" 3 1 28 0 0 7.8958 "S" 0 0 0
"106" 3 0 21 0 0 7.65 "S" 1 1 1
"107" 3 1 29.6991176470588 0 0 7.775 "S" 0 0 0
"108" 3 1 38 0 0 7.8958 "S" 0 0 0
"109" 3 0 29.6991176470588 1 0 24.15 "Q" 1 1 0
"110" 1 1 47 0 0 52 "S" 0 0 0
"111" 3 0 14.5 1 0 14.4542 "C" 1 1 1
"112" 3 1 22 0 0 8.05 "S" 0 0 0
"113" 3 0 20 1 0 9.825 "S" 1 1 1
"114" 3 0 17 0 0 14.4583 "C" 1 1 1
"115" 3 1 21 0 0 7.925 "S" 0 0 0
"116" 3 1 70.5 0 0 7.75 "Q" 0 0 0
"117" 2 1 29 1 0 21 "S" 0 0 0
"118" 1 1 24 0 1 247.5208 "C" 0 0 1
"119" 3 0 2 4 2 31.275 "S" 0 1 0
"120" 2 1 21 2 0 73.5 "S" 0 0 0
"121" 3 1 29.6991176470588 0 0 8.05 "S" 0 0 0
"122" 2 1 32.5 1 0 30.0708 "C" 0 0 0
"123" 2 0 32.5 0 0 13 "S" 1 1 1
"124" 1 1 54 0 1 77.2875 "S" 0 0 0
"125" 3 1 12 1 0 11.2417 "C" 0 0 0
"126" 3 1 29.6991176470588 0 0 7.75 "Q" 0 0 0
"127" 3 1 24 0 0 7.1417 "S" 0 0 0
"128" 3 0 29.6991176470588 1 1 22.3583 "C" 1 1 1
"129" 3 1 45 0 0 6.975 "S" 0 0 0
"130" 3 1 33 0 0 7.8958 "C" 0 0 0
"131" 3 1 20 0 0 7.05 "S" 0 0 0
"132" 3 0 47 1 0 14.5 "S" 0 0 0
"133" 2 0 29 1 0 26 "S" 1 1 1
"134" 2 1 25 0 0 13 "S" 0 0 0
"135" 2 1 23 0 0 15.0458 "C" 0 0 0
"136" 1 0 19 0 2 26.2833 "S" 1 1 1
"137" 1 1 37 1 0 53.1 "S" 0 0 0
"138" 3 1 16 0 0 9.2167 "S" 0 0 0
"139" 1 1 24 0 0 79.2 "C" 0 1 1
"140" 3 0 29.6991176470588 0 2 15.2458 "C" 1 1 1
"141" 3 0 22 0 0 7.75 "S" 1 1 1
"142" 3 0 24 1 0 15.85 "S" 1 1 1
"143" 3 1 19 0 0 6.75 "Q" 0 0 0
"144" 2 1 18 0 0 11.5 "S" 0 0 0
"145" 2 1 19 1 1 36.75 "S" 0 0 0
"146" 3 1 27 0 0 7.7958 "S" 0 0 0
"147" 3 0 9 2 2 34.375 "S" 1 1 1
"148" 2 1 36.5 0 2 26 "S" 0 0 0
"149" 2 1 42 0 0 13 "S" 0 0 0
"150" 2 1 51 0 0 12.525 "S" 0 0 0
"151" 1 0 22 1 0 66.6 "S" 1 1 1
"152" 3 1 55.5 0 0 8.05 "S" 0 0 0
"153" 3 1 40.5 0 2 14.5 "S" 0 0 0
"154" 3 1 29.6991176470588 0 0 7.3125 "S" 0 0 0
"155" 1 1 51 0 1 61.3792 "C" 0 0 0
"156" 3 0 16 0 0 7.7333 "Q" 1 1 1
"157" 3 1 30 0 0 8.05 "S" 0 0 0
"158" 3 1 29.6991176470588 0 0 8.6625 "S" 0 0 0
"159" 3 1 29.6991176470588 8 2 69.55 "S" 0 0 0
"160" 3 1 44 0 1 16.1 "S" 0 0 0
"161" 2 0 40 0 0 15.75 "S" 1 1 1
"162" 3 1 26 0 0 7.775 "S" 0 0 0
"163" 3 1 17 0 0 8.6625 "S" 0 0 0
"164" 3 1 1 4 1 39.6875 "S" 0 0 0
"165" 3 1 9 0 2 20.525 "S" 0 0 0
"166" 1 0 29.6991176470588 0 1 55 "S" 1 1 1
"167" 3 0 45 1 4 27.9 "S" 0 0 0
"168" 1 1 29.6991176470588 0 0 25.925 "S" 0 0 0
"169" 3 1 28 0 0 56.4958 "S" 0 0 0
"170" 1 1 61 0 0 33.5 "S" 0 0 0
"171" 3 1 4 4 1 29.125 "Q" 0 0 0
"172" 3 0 1 1 1 11.1333 "S" 1 1 1
"173" 3 1 21 0 0 7.925 "S" 0 0 0
"174" 1 1 56 0 0 30.6958 "C" 0 0 0
"175" 3 1 18 1 1 7.8542 "S" 0 0 0
"176" 3 1 29.6991176470588 3 1 25.4667 "S" 0 0 0
"177" 1 0 50 0 0 28.7125 "C" 1 1 1
"178" 2 1 30 0 0 13 "S" 0 0 0
"179" 3 1 36 0 0 0 "S" 0 0 0
"180" 3 0 29.6991176470588 8 2 69.55 "S" 0 0 0
"181" 2 1 29.6991176470588 0 0 15.05 "C" 0 0 0
"182" 3 1 9 4 2 31.3875 "S" 0 0 0
"183" 2 1 1 2 1 39 "S" 0 0 0
"184" 3 0 4 0 2 22.025 "S" 1 1 1
"185" 1 1 29.6991176470588 0 0 50 "S" 0 0 1
"186" 3 0 29.6991176470588 1 0 15.5 "Q" 1 1 0
"187" 1 1 45 0 0 26.55 "S" 0 0 0
"188" 3 1 40 1 1 15.5 "Q" 0 0 0
"189" 3 1 36 0 0 7.8958 "S" 0 0 0
"190" 2 0 32 0 0 13 "S" 1 1 1
"191" 2 1 19 0 0 13 "S" 0 0 0
"192" 3 0 19 1 0 7.8542 "S" 1 1 1
"193" 2 1 3 1 1 26 "S" 0 0 0
"194" 1 0 44 0 0 27.7208 "C" 1 1 1
"195" 1 0 58 0 0 146.5208 "C" 1 1 1
"196" 3 1 29.6991176470588 0 0 7.75 "Q" 0 0 0
"197" 3 1 42 0 1 8.4042 "S" 0 0 0
"198" 3 0 29.6991176470588 0 0 7.75 "Q" 1 1 0
"199" 2 0 24 0 0 13 "S" 1 1 1
"200" 3 1 28 0 0 9.5 "S" 0 0 0
"201" 3 1 29.6991176470588 8 2 69.55 "S" 0 0 0
"202" 3 1 34 0 0 6.4958 "S" 0 0 0
"203" 3 1 45.5 0 0 7.225 "C" 0 0 0
"204" 3 1 18 0 0 8.05 "S" 0 0 0
"205" 3 0 2 0 1 10.4625 "S" 1 1 1
"206" 3 1 32 1 0 15.85 "S" 0 0 0
"207" 3 1 26 0 0 18.7875 "C" 0 0 0
"208" 3 0 16 0 0 7.75 "Q" 1 1 1
"209" 1 1 40 0 0 31 "C" 0 1 1
"210" 3 1 24 0 0 7.05 "S" 0 0 0
"211" 2 0 35 0 0 21 "S" 1 1 1
"212" 3 1 22 0 0 7.25 "S" 0 0 0
"213" 2 1 30 0 0 13 "S" 0 0 0
"214" 3 1 29.6991176470588 1 0 7.75 "Q" 0 0 0
"215" 1 0 31 1 0 113.275 "C" 1 1 1
"216" 3 0 27 0 0 7.925 "S" 1 1 1
"217" 2 1 42 1 0 27 "S" 0 0 0
"218" 1 0 32 0 0 76.2917 "C" 1 1 1
"219" 2 1 30 0 0 10.5 "S" 0 0 0
"220" 3 1 16 0 0 8.05 "S" 0 0 0
"221" 2 1 27 0 0 13 "S" 0 0 0
"222" 3 1 51 0 0 8.05 "S" 0 0 0
"223" 3 1 29.6991176470588 0 0 7.8958 "S" 0 0 0
"224" 1 1 38 1 0 90 "S" 0 0 1
"225" 3 1 22 0 0 9.35 "S" 0 0 0
"226" 2 1 19 0 0 10.5 "S" 0 0 0
"227" 3 1 20.5 0 0 7.25 "S" 0 0 0
"228" 2 1 18 0 0 13 "S" 0 0 0
"229" 3 0 29.6991176470588 3 1 25.4667 "S" 0 0 0
"230" 1 0 35 1 0 83.475 "S" 1 1 1
"231" 3 1 29 0 0 7.775 "S" 0 0 0
"232" 2 1 59 0 0 13.5 "S" 0 0 0
"233" 3 0 5 4 2 31.3875 "S" 0 1 0
"234" 2 1 24 0 0 10.5 "S" 0 0 0
"235" 3 0 29.6991176470588 0 0 7.55 "S" 1 1 1
"236" 2 1 44 1 0 26 "S" 0 0 0
"237" 2 0 8 0 2 26.25 "S" 1 1 1
"238" 2 1 19 0 0 10.5 "S" 0 0 0
"239" 2 1 33 0 0 12.275 "S" 0 0 0
"240" 3 0 29.6991176470588 1 0 14.4542 "C" 1 1 1
"241" 3 0 29.6991176470588 1 0 15.5 "Q" 1 1 0
"242" 2 1 29 0 0 10.5 "S" 0 0 0
"243" 3 1 22 0 0 7.125 "S" 0 0 0
"244" 3 1 30 0 0 7.225 "C" 0 0 0
"245" 1 1 44 2 0 90 "Q" 0 0 0
"246" 3 0 25 0 0 7.775 "S" 1 1 1
"247" 2 0 24 0 2 14.5 "S" 1 1 1
"248" 1 1 37 1 1 52.5542 "S" 0 0 0
"249" 2 1 54 1 0 26 "S" 0 0 0
"250" 3 1 29.6991176470588 0 0 7.25 "S" 0 0 0
"251" 3 0 29 1 1 10.4625 "S" 1 1 0
"252" 1 1 62 0 0 26.55 "S" 0 0 0
"253" 3 1 30 1 0 16.1 "S" 0 0 0
"254" 3 0 41 0 2 20.2125 "S" 1 0 0
"255" 3 0 29 0 2 15.2458 "C" 1 1 1
"256" 1 0 29.6991176470588 0 0 79.2 "C" 1 1 1
"257" 1 0 30 0 0 86.5 "S" 1 1 1
"258" 1 0 35 0 0 512.3292 "C" 1 1 1
"259" 2 0 50 0 1 26 "S" 1 1 1
"260" 3 1 29.6991176470588 0 0 7.75 "Q" 0 0 0
"261" 3 1 3 4 2 31.3875 "S" 0 0 0
"262" 1 1 52 1 1 79.65 "S" 0 0 0
"263" 1 1 40 0 0 0 "S" 0 0 0
"264" 3 0 29.6991176470588 0 0 7.75 "Q" 1 1 0
"265" 2 1 36 0 0 10.5 "S" 0 0 0
"266" 3 1 16 4 1 39.6875 "S" 0 0 0
"267" 3 1 25 1 0 7.775 "S" 0 0 0
"268" 1 0 58 0 1 153.4625 "S" 1 1 1
"269" 1 0 35 0 0 135.6333 "S" 1 1 1
"270" 1 1 29.6991176470588 0 0 31 "S" 0 0 1
"271" 3 1 25 0 0 0 "S" 0 0 0
"272" 2 0 41 0 1 19.5 "S" 1 1 1
"273" 1 1 37 0 1 29.7 "C" 0 1 0
"274" 3 0 29.6991176470588 0 0 7.75 "Q" 1 1 0
"275" 1 0 63 1 0 77.9583 "S" 0 1 1
"276" 3 0 45 0 0 7.75 "S" 0 0 1
"277" 2 1 29.6991176470588 0 0 0 "S" 0 0 0
"278" 3 1 7 4 1 29.125 "Q" 0 0 0
"279" 3 0 35 1 1 20.25 "S" 0 0 0
"280" 3 1 65 0 0 7.75 "Q" 0 0 0
"281" 3 1 28 0 0 7.8542 "S" 0 0 0
"282" 3 1 16 0 0 9.5 "S" 0 0 0
"283" 3 1 19 0 0 8.05 "S" 0 0 0
"284" 1 1 29.6991176470588 0 0 26 "S" 0 0 0
"285" 3 1 33 0 0 8.6625 "C" 0 0 0
"286" 3 1 30 0 0 9.5 "S" 0 0 0
"287" 3 1 22 0 0 7.8958 "S" 0 0 0
"288" 2 1 42 0 0 13 "S" 0 0 0
"289" 3 0 22 0 0 7.75 "Q" 1 1 1
"290" 1 0 26 0 0 78.85 "S" 1 1 1
"291" 1 0 19 1 0 91.0792 "C" 1 1 1
"292" 2 1 36 0 0 12.875 "C" 0 0 0
"293" 3 0 24 0 0 8.85 "S" 1 1 1
"294" 3 1 24 0 0 7.8958 "S" 0 0 0
"295" 1 1 29.6991176470588 0 0 27.7208 "C" 0 1 1
"296" 3 1 23.5 0 0 7.2292 "C" 0 0 0
"297" 1 0 2 1 2 151.55 "S" 1 1 1
"298" 1 1 29.6991176470588 0 0 30.5 "S" 0 0 1
"299" 1 0 50 0 1 247.5208 "C" 1 1 1
"300" 3 0 29.6991176470588 0 0 7.75 "Q" 1 1 0
"301" 3 1 29.6991176470588 2 0 23.25 "Q" 0 0 0
"302" 3 1 19 0 0 0 "S" 0 0 0
"303" 2 0 29.6991176470588 0 0 12.35 "Q" 1 1 1
"304" 3 1 29.6991176470588 0 0 8.05 "S" 0 0 0
"305" 1 1 0.92 1 2 151.55 "S" 1 1 1
"306" 1 0 29.6991176470588 0 0 110.8833 "C" 1 1 1
"307" 1 0 17 1 0 108.9 "C" 1 1 1
"308" 2 1 30 1 0 24 "C" 0 0 0
"309" 1 0 30 0 0 56.9292 "C" 1 1 1
"310" 1 0 24 0 0 83.1583 "C" 1 1 1
"311" 1 0 18 2 2 262.375 "C" 1 1 1
"312" 2 0 26 1 1 26 "S" 1 1 1
"313" 3 1 28 0 0 7.8958 "S" 0 0 0
"314" 2 1 43 1 1 26.25 "S" 0 0 0
"315" 3 0 26 0 0 7.8542 "S" 1 1 1
"316" 2 0 24 1 0 26 "S" 1 1 1
"317" 2 1 54 0 0 14 "S" 0 0 0
"318" 1 0 31 0 2 164.8667 "S" 1 1 1
"319" 1 0 40 1 1 134.5 "C" 1 1 1
"320" 3 1 22 0 0 7.25 "S" 0 0 0
"321" 3 1 27 0 0 7.8958 "S" 0 0 0
"322" 2 0 30 0 0 12.35 "Q" 1 1 1
"323" 2 0 22 1 1 29 "S" 1 1 1
"324" 3 1 29.6991176470588 8 2 69.55 "S" 0 0 0
"325" 1 0 36 0 0 135.6333 "C" 1 1 1
"326" 3 1 61 0 0 6.2375 "S" 0 0 0
"327" 2 0 36 0 0 13 "S" 1 1 1
"328" 3 0 31 1 1 20.525 "S" 1 1 1
"329" 1 0 16 0 1 57.9792 "C" 1 1 1
"330" 3 0 29.6991176470588 2 0 23.25 "Q" 1 1 0
"331" 1 1 45.5 0 0 28.5 "S" 0 0 0
"332" 1 1 38 0 1 153.4625 "S" 0 0 1
"333" 3 1 16 2 0 18 "S" 0 0 0
"334" 1 0 29.6991176470588 1 0 133.65 "S" 1 1 1
"335" 3 1 29.6991176470588 0 0 7.8958 "S" 0 0 0
"336" 1 1 29 1 0 66.6 "S" 0 0 1
"337" 1 0 41 0 0 134.5 "C" 1 1 1
"338" 3 1 45 0 0 8.05 "S" 0 0 0
"339" 1 1 45 0 0 35.5 "S" 0 0 0
"340" 2 1 2 1 1 26 "S" 0 0 0
"341" 1 0 24 3 2 263 "S" 1 1 1
"342" 2 1 28 0 0 13 "S" 0 0 0
"343" 2 1 25 0 0 13 "S" 0 0 0
"344" 2 1 36 0 0 13 "S" 0 0 0
"345" 2 0 24 0 0 13 "S" 1 1 1
"346" 2 0 40 0 0 13 "S" 1 1 1
"347" 3 0 29.6991176470588 1 0 16.1 "S" 1 1 1
"348" 3 1 3 1 1 15.9 "S" 0 0 0
"349" 3 1 42 0 0 8.6625 "S" 0 0 0
"350" 3 1 23 0 0 9.225 "S" 0 0 0
"351" 1 1 29.6991176470588 0 0 35 "S" 0 0 1
"352" 3 1 15 1 1 7.2292 "C" 0 0 0
"353" 3 1 25 1 0 17.8 "S" 0 0 0
"354" 3 1 29.6991176470588 0 0 7.225 "C" 0 0 0
"355" 3 1 28 0 0 9.5 "S" 0 0 0
"356" 1 0 22 0 1 55 "S" 1 1 1
"357" 2 0 38 0 0 13 "S" 1 1 1
"358" 3 0 29.6991176470588 0 0 7.8792 "Q" 1 1 0
"359" 3 0 29.6991176470588 0 0 7.8792 "Q" 1 1 0
"360" 3 1 40 1 4 27.9 "S" 0 0 0
"361" 2 1 29 1 0 27.7208 "C" 0 0 0
"362" 3 0 45 0 1 14.4542 "C" 1 1 1
"363" 3 1 35 0 0 7.05 "S" 0 0 0
"364" 3 1 29.6991176470588 1 0 15.5 "Q" 0 0 0
"365" 3 1 30 0 0 7.25 "S" 0 0 0
"366" 1 0 60 1 0 75.25 "C" 1 1 1
"367" 3 0 29.6991176470588 0 0 7.2292 "C" 1 1 1
"368" 3 0 29.6991176470588 0 0 7.75 "Q" 1 1 0
"369" 1 0 24 0 0 69.3 "C" 1 1 1
"370" 1 1 25 1 0 55.4417 "C" 0 1 1
"371" 3 1 18 1 0 6.4958 "S" 0 0 0
"372" 3 1 19 0 0 8.05 "S" 0 0 0
"373" 1 1 22 0 0 135.6333 "C" 0 1 1
"374" 3 0 3 3 1 21.075 "S" 1 1 1
"375" 1 0 29.6991176470588 1 0 82.1708 "C" 1 1 1
"376" 3 0 22 0 0 7.25 "S" 1 1 1
"377" 1 1 27 0 2 211.5 "C" 0 0 1
"378" 3 1 20 0 0 4.0125 "C" 0 0 0
"379" 3 1 19 0 0 7.775 "S" 0 0 0
"380" 1 0 42 0 0 227.525 "C" 1 1 1
"381" 3 0 1 0 2 15.7417 "C" 1 1 1
"382" 3 1 32 0 0 7.925 "S" 0 0 0
"383" 1 0 35 1 0 52 "S" 1 1 1
"384" 3 1 29.6991176470588 0 0 7.8958 "S" 0 0 0
"385" 2 1 18 0 0 73.5 "S" 0 0 1
"386" 3 1 1 5 2 46.9 "S" 0 0 0
"387" 2 0 36 0 0 13 "S" 1 1 1
"388" 3 1 29.6991176470588 0 0 7.7292 "Q" 0 0 0
"389" 2 0 17 0 0 12 "C" 1 1 1
"390" 1 1 36 1 2 120 "S" 0 0 0
"391" 3 1 21 0 0 7.7958 "S" 0 0 0
"392" 3 1 28 2 0 7.925 "S" 0 0 0
"393" 1 0 23 1 0 113.275 "C" 1 1 1
"394" 3 0 24 0 2 16.7 "S" 1 1 1
"395" 3 1 22 0 0 7.7958 "S" 0 0 0
"396" 3 0 31 0 0 7.8542 "S" 1 1 1
"397" 2 1 46 0 0 26 "S" 0 0 0
"398" 2 1 23 0 0 10.5 "S" 0 0 0
"399" 2 0 28 0 0 12.65 "S" 1 1 1
"400" 3 1 39 0 0 7.925 "S" 0 0 0
"401" 3 1 26 0 0 8.05 "S" 0 0 0
"402" 3 0 21 1 0 9.825 "S" 1 1 1
"403" 3 1 28 1 0 15.85 "S" 0 0 0
"404" 3 0 20 0 0 8.6625 "S" 1 1 1
"405" 2 1 34 1 0 21 "S" 0 0 0
"406" 3 1 51 0 0 7.75 "S" 0 0 0
"407" 2 1 3 1 1 18.75 "S" 0 0 0
"408" 3 1 21 0 0 7.775 "S" 0 0 0
"409" 3 0 29.6991176470588 3 1 25.4667 "S" 0 0 0
"410" 3 1 29.6991176470588 0 0 7.8958 "S" 0 0 0
"411" 3 1 29.6991176470588 0 0 6.8583 "Q" 0 0 0
"412" 1 0 33 1 0 90 "Q" 1 1 1
"413" 2 1 29.6991176470588 0 0 0 "S" 0 0 0
"414" 3 1 44 0 0 7.925 "S" 0 0 0
"415" 3 0 29.6991176470588 0 0 8.05 "S" 1 1 1
"416" 2 0 34 1 1 32.5 "S" 1 1 1
"417" 2 0 18 0 2 13 "S" 1 1 1
"418" 2 1 30 0 0 13 "S" 0 0 0
"419" 3 0 10 0 2 24.15 "S" 1 1 1
"420" 3 1 29.6991176470588 0 0 7.8958 "C" 0 0 0
"421" 3 1 21 0 0 7.7333 "Q" 0 0 0
"422" 3 1 29 0 0 7.875 "S" 0 0 0
"423" 3 0 28 1 1 14.4 "S" 1 1 1
"424" 3 1 18 1 1 20.2125 "S" 0 0 0
"425" 3 1 29.6991176470588 0 0 7.25 "S" 0 0 0
"426" 2 0 28 1 0 26 "S" 1 1 1
"427" 2 0 19 0 0 26 "S" 1 1 1
"428" 3 1 29.6991176470588 0 0 7.75 "Q" 0 0 0
"429" 3 1 32 0 0 8.05 "S" 0 0 0
"430" 1 1 28 0 0 26.55 "S" 0 0 1
"431" 3 0 29.6991176470588 1 0 16.1 "S" 1 1 1
"432" 2 0 42 1 0 26 "S" 1 1 1
"433" 3 1 17 0 0 7.125 "S" 0 0 0
"434" 1 1 50 1 0 55.9 "S" 0 0 0
"435" 1 0 14 1 2 120 "S" 1 1 1
"436" 3 0 21 2 2 34.375 "S" 1 1 0
"437" 2 0 24 2 3 18.75 "S" 1 1 1
"438" 1 1 64 1 4 263 "S" 0 0 1
"439" 2 1 31 0 0 10.5 "S" 0 0 0
"440" 2 0 45 1 1 26.25 "S" 1 1 1
"441" 3 1 20 0 0 9.5 "S" 0 0 0
"442" 3 1 25 1 0 7.775 "S" 0 0 0
"443" 2 0 28 0 0 13 "S" 1 1 1
"444" 3 1 29.6991176470588 0 0 8.1125 "S" 0 0 0
"445" 1 1 4 0 2 81.8583 "S" 1 1 1
"446" 2 0 13 0 1 19.5 "S" 1 1 1
"447" 1 1 34 0 0 26.55 "S" 0 0 0
"448" 3 0 5 2 1 19.2583 "C" 1 1 1
"449" 1 1 52 0 0 30.5 "S" 0 0 0
"450" 2 1 36 1 2 27.75 "S" 0 0 0
"451" 3 1 29.6991176470588 1 0 19.9667 "S" 0 0 0
"452" 1 1 30 0 0 27.75 "C" 0 1 1
"453" 1 1 49 1 0 89.1042 "C" 0 0 1
"454" 3 1 29.6991176470588 0 0 8.05 "S" 0 0 0
"455" 3 1 29 0 0 7.8958 "C" 0 0 0
"456" 1 1 65 0 0 26.55 "S" 0 0 0
"457" 1 0 29.6991176470588 1 0 51.8625 "S" 1 1 1
"458" 2 0 50 0 0 10.5 "S" 1 1 1
"459" 3 1 29.6991176470588 0 0 7.75 "Q" 0 0 0
"460" 1 1 48 0 0 26.55 "S" 0 0 0
"461" 3 1 34 0 0 8.05 "S" 0 0 0
"462" 1 1 47 0 0 38.5 "S" 0 0 0
"463" 2 1 48 0 0 13 "S" 0 0 0
"464" 3 1 29.6991176470588 0 0 8.05 "S" 0 0 0
"465" 3 1 38 0 0 7.05 "S" 0 0 0
"466" 2 1 29.6991176470588 0 0 0 "S" 0 0 0
"467" 1 1 56 0 0 26.55 "S" 0 0 0
"468" 3 1 29.6991176470588 0 0 7.725 "Q" 0 0 0
"469" 3 0 0.75 2 1 19.2583 "C" 1 1 1
"470" 3 1 29.6991176470588 0 0 7.25 "S" 0 0 0
"471" 3 1 38 0 0 8.6625 "S" 0 0 0
"472" 2 0 33 1 2 27.75 "S" 1 1 1
