"Survived" "Pclass" "Sex" "Age" "SibSp" "Parch" "Fare" "Embarked" "C1_Label" "C2_Label" "C3_Label"
"161" 1 2 "female" 40 0 0 15.75 "S" 1 1 1
"162" 0 3 "male" 26 0 0 7.775 "S" 0 0 0
"163" 0 3 "male" 17 0 0 8.6625 "S" 0 0 0
"164" 0 3 "male" 1 4 1 39.6875 "S" 0 0 0
"165" 1 3 "male" 9 0 2 20.525 "S" 0 0 0
"166" 1 1 "female" 29.6991176470588 0 1 55 "S" 1 1 1
"167" 0 3 "female" 45 1 4 27.9 "S" 0 0 0
"168" 0 1 "male" 29.6991176470588 0 0 25.925 "S" 0 0 0
"169" 0 3 "male" 28 0 0 56.4958 "S" 0 0 0
"170" 0 1 "male" 61 0 0 33.5 "S" 0 0 0
"171" 0 3 "male" 4 4 1 29.125 "Q" 0 0 0
"172" 1 3 "female" 1 1 1 11.1333 "S" 1 1 1
"173" 0 3 "male" 21 0 0 7.925 "S" 0 0 0
"174" 0 1 "male" 56 0 0 30.6958 "C" 0 0 0
"175" 0 3 "male" 18 1 1 7.8542 "S" 0 0 0
"176" 0 3 "male" 29.6991176470588 3 1 25.4667 "S" 0 0 0
"177" 0 1 "female" 50 0 0 28.7125 "C" 1 1 1
"178" 0 2 "male" 30 0 0 13 "S" 0 0 0
"179" 0 3 "male" 36 0 0 0 "S" 0 0 0
"180" 0 3 "female" 29.6991176470588 8 2 69.55 "S" 0 0 0
"181" 0 2 "male" 29.6991176470588 0 0 15.05 "C" 0 0 0
"182" 0 3 "male" 9 4 2 31.3875 "S" 0 0 0
"183" 1 2 "male" 1 2 1 39 "S" 0 0 0
"184" 1 3 "female" 4 0 2 22.025 "S" 1 1 1
"185" 0 1 "male" 29.6991176470588 0 0 50 "S" 0 0 1
"186" 1 3 "female" 29.6991176470588 1 0 15.5 "Q" 1 1 0
"187" 1 1 "male" 45 0 0 26.55 "S" 0 0 0
"188" 0 3 "male" 40 1 1 15.5 "Q" 0 0 0
"189" 0 3 "male" 36 0 0 7.8958 "S" 0 0 0
"190" 1 2 "female" 32 0 0 13 "S" 1 1 1
"191" 0 2 "male" 19 0 0 13 "S" 0 0 0
"192" 1 3 "female" 19 1 0 7.8542 "S" 1 1 1
"193" 1 2 "male" 3 1 1 26 "S" 0 0 0
"194" 1 1 "female" 44 0 0 27.7208 "C" 1 1 1
"195" 1 1 "female" 58 0 0 146.5208 "C" 1 1 1
"196" 0 3 "male" 29.6991176470588 0 0 7.75 "Q" 0 0 0
"197" 0 3 "male" 42 0 1 8.4042 "S" 0 0 0
"198" 1 3 "female" 29.6991176470588 0 0 7.75 "Q" 1 1 0
"199" 0 2 "female" 24 0 0 13 "S" 1 1 1
"200" 0 3 "male" 28 0 0 9.5 "S" 0 0 0
"201" 0 3 "male" 29.6991176470588 8 2 69.55 "S" 0 0 0
"202" 0 3 "male" 34 0 0 6.4958 "S" 0 0 0
"203" 0 3 "male" 45.5 0 0 7.225 "C" 0 0 0
"204" 1 3 "male" 18 0 0 8.05 "S" 0 0 0
"205" 0 3 "female" 2 0 1 10.4625 "S" 1 1 1
"206" 0 3 "male" 32 1 0 15.85 "S" 0 0 0
"207" 1 3 "male" 26 0 0 18.7875 "C" 0 0 0
"208" 1 3 "female" 16 0 0 7.75 "Q" 1 1 1
"209" 1 1 "male" 40 0 0 31 "C" 0 1 1
"210" 0 3 "male" 24 0 0 7.05 "S" 0 0 0
"211" 1 2 "female" 35 0 0 21 "S" 1 1 1
"212" 0 3 "male" 22 0 0 7.25 "S" 0 0 0
"213" 0 2 "male" 30 0 0 13 "S" 0 0 0
"214" 0 3 "male" 29.6991176470588 1 0 7.75 "Q" 0 0 0
"215" 1 1 "female" 31 1 0 113.275 "C" 1 1 1
"216" 1 3 "female" 27 0 0 7.925 "S" 1 1 1
"217" 0 2 "male" 42 1 0 27 "S" 0 0 0
"218" 1 1 "female" 32 0 0 76.2917 "C" 1 1 1
"219" 0 2 "male" 30 0 0 10.5 "S" 0 0 0
"220" 1 3 "male" 16 0 0 8.05 "S" 0 0 0
"221" 0 2 "male" 27 0 0 13 "S" 0 0 0
"222" 0 3 "male" 51 0 0 8.05 "S" 0 0 0
"223" 0 3 "male" 29.6991176470588 0 0 7.8958 "S" 0 0 0
"224" 1 1 "male" 38 1 0 90 "S" 0 0 1
"225" 0 3 "male" 22 0 0 9.35 "S" 0 0 0
"226" 1 2 "male" 19 0 0 10.5 "S" 0 0 0
"227" 0 3 "male" 20.5 0 0 7.25 "S" 0 0 0
"228" 0 2 "male" 18 0 0 13 "S" 0 0 0
"229" 0 3 "female" 29.6991176470588 3 1 25.4667 "S" 0 0 0
"230" 1 1 "female" 35 1 0 83.475 "S" 1 1 1
"231" 0 3 "male" 29 0 0 7.775 "S" 0 0 0
"232" 0 2 "male" 59 0 0 13.5 "S" 0 0 0
"233" 1 3 "female" 5 4 2 31.3875 "S" 0 1 0
"234" 0 2 "male" 24 0 0 10.5 "S" 0 0 0
"235" 0 3 "female" 29.6991176470588 0 0 7.55 "S" 1 1 1
"236" 0 2 "male" 44 1 0 26 "S" 0 0 0
"237" 1 2 "female" 8 0 2 26.25 "S" 1 1 1
"238" 0 2 "male" 19 0 0 10.5 "S" 0 0 0
"239" 0 2 "male" 33 0 0 12.275 "S" 0 0 0
"240" 0 3 "female" 29.6991176470588 1 0 14.4542 "C" 1 1 1
"241" 1 3 "female" 29.6991176470588 1 0 15.5 "Q" 1 1 0
"242" 0 2 "male" 29 0 0 10.5 "S" 0 0 0
"243" 0 3 "male" 22 0 0 7.125 "S" 0 0 0
"244" 0 3 "male" 30 0 0 7.225 "C" 0 0 0
"245" 0 1 "male" 44 2 0 90 "Q" 0 0 0
"246" 0 3 "female" 25 0 0 7.775 "S" 1 1 1
"247" 1 2 "female" 24 0 2 14.5 "S" 1 1 1
"248" 1 1 "male" 37 1 1 52.5542 "S" 0 0 0
"249" 0 2 "male" 54 1 0 26 "S" 0 0 0
"250" 0 3 "male" 29.6991176470588 0 0 7.25 "S" 0 0 0
"251" 0 3 "female" 29 1 1 10.4625 "S" 1 1 0
"252" 0 1 "male" 62 0 0 26.55 "S" 0 0 0
"253" 0 3 "male" 30 1 0 16.1 "S" 0 0 0
"254" 0 3 "female" 41 0 2 20.2125 "S" 1 0 0
"255" 1 3 "female" 29 0 2 15.2458 "C" 1 1 1
"256" 1 1 "female" 29.6991176470588 0 0 79.2 "C" 1 1 1
"257" 1 1 "female" 30 0 0 86.5 "S" 1 1 1
"258" 1 1 "female" 35 0 0 512.3292 "C" 1 1 1
"259" 1 2 "female" 50 0 1 26 "S" 1 1 1
"260" 0 3 "male" 29.6991176470588 0 0 7.75 "Q" 0 0 0
"261" 1 3 "male" 3 4 2 31.3875 "S" 0 0 0
"262" 0 1 "male" 52 1 1 79.65 "S" 0 0 0
"263" 0 1 "male" 40 0 0 0 "S" 0 0 0
"264" 0 3 "female" 29.6991176470588 0 0 7.75 "Q" 1 1 0
"265" 0 2 "male" 36 0 0 10.5 "S" 0 0 0
"266" 0 3 "male" 16 4 1 39.6875 "S" 0 0 0
"267" 1 3 "male" 25 1 0 7.775 "S" 0 0 0
"268" 1 1 "female" 58 0 1 153.4625 "S" 1 1 1
"269" 1 1 "female" 35 0 0 135.6333 "S" 1 1 1
"270" 0 1 "male" 29.6991176470588 0 0 31 "S" 0 0 1
"271" 1 3 "male" 25 0 0 0 "S" 0 0 0
"272" 1 2 "female" 41 0 1 19.5 "S" 1 1 1
"273" 0 1 "male" 37 0 1 29.7 "C" 0 1 0
"274" 1 3 "female" 29.6991176470588 0 0 7.75 "Q" 1 1 0
"275" 1 1 "female" 63 1 0 77.9583 "S" 0 1 1
"276" 0 3 "female" 45 0 0 7.75 "S" 0 0 1
"277" 0 2 "male" 29.6991176470588 0 0 0 "S" 0 0 0
"278" 0 3 "male" 7 4 1 29.125 "Q" 0 0 0
"279" 1 3 "female" 35 1 1 20.25 "S" 0 0 0
"280" 0 3 "male" 65 0 0 7.75 "Q" 0 0 0
"281" 0 3 "male" 28 0 0 7.8542 "S" 0 0 0
"282" 0 3 "male" 16 0 0 9.5 "S" 0 0 0
"283" 1 3 "male" 19 0 0 8.05 "S" 0 0 0
"284" 0 1 "male" 29.6991176470588 0 0 26 "S" 0 0 0
"285" 0 3 "male" 33 0 0 8.6625 "C" 0 0 0
"286" 1 3 "male" 30 0 0 9.5 "S" 0 0 0
"287" 0 3 "male" 22 0 0 7.8958 "S" 0 0 0
"288" 1 2 "male" 42 0 0 13 "S" 0 0 0
"289" 1 3 "female" 22 0 0 7.75 "Q" 1 1 1
"290" 1 1 "female" 26 0 0 78.85 "S" 1 1 1
"291" 1 1 "female" 19 1 0 91.0792 "C" 1 1 1
"292" 0 2 "male" 36 0 0 12.875 "C" 0 0 0
"293" 0 3 "female" 24 0 0 8.85 "S" 1 1 1
"294" 0 3 "male" 24 0 0 7.8958 "S" 0 0 0
"295" 0 1 "male" 29.6991176470588 0 0 27.7208 "C" 0 1 1
"296" 0 3 "male" 23.5 0 0 7.2292 "C" 0 0 0
"297" 0 1 "female" 2 1 2 151.55 "S" 1 1 1
"298" 1 1 "male" 29.6991176470588 0 0 30.5 "S" 0 0 1
"299" 1 1 "female" 50 0 1 247.5208 "C" 1 1 1
"300" 1 3 "female" 29.6991176470588 0 0 7.75 "Q" 1 1 0
"301" 1 3 "male" 29.6991176470588 2 0 23.25 "Q" 0 0 0
"302" 0 3 "male" 19 0 0 0 "S" 0 0 0
"303" 1 2 "female" 29.6991176470588 0 0 12.35 "Q" 1 1 1
"304" 0 3 "male" 29.6991176470588 0 0 8.05 "S" 0 0 0
"305" 1 1 "male" 0.92 1 2 151.55 "S" 1 1 1
"306" 1 1 "female" 29.6991176470588 0 0 110.8833 "C" 1 1 1
"307" 1 1 "female" 17 1 0 108.9 "C" 1 1 1
"308" 0 2 "male" 30 1 0 24 "C" 0 0 0
"309" 1 1 "female" 30 0 0 56.9292 "C" 1 1 1
"310" 1 1 "female" 24 0 0 83.1583 "C" 1 1 1
"311" 1 1 "female" 18 2 2 262.375 "C" 1 1 1
"312" 0 2 "female" 26 1 1 26 "S" 1 1 1
"313" 0 3 "male" 28 0 0 7.8958 "S" 0 0 0
"314" 0 2 "male" 43 1 1 26.25 "S" 0 0 0
"315" 1 3 "female" 26 0 0 7.8542 "S" 1 1 1
"316" 1 2 "female" 24 1 0 26 "S" 1 1 1
"317" 0 2 "male" 54 0 0 14 "S" 0 0 0
"318" 1 1 "female" 31 0 2 164.8667 "S" 1 1 1
"319" 1 1 "female" 40 1 1 134.5 "C" 1 1 1
"320" 0 3 "male" 22 0 0 7.25 "S" 0 0 0
"321" 0 3 "male" 27 0 0 7.8958 "S" 0 0 0
"322" 1 2 "female" 30 0 0 12.35 "Q" 1 1 1
"323" 1 2 "female" 22 1 1 29 "S" 1 1 1
"324" 0 3 "male" 29.6991176470588 8 2 69.55 "S" 0 0 0
"325" 1 1 "female" 36 0 0 135.6333 "C" 1 1 1
"326" 0 3 "male" 61 0 0 6.2375 "S" 0 0 0
"327" 1 2 "female" 36 0 0 13 "S" 1 1 1
"328" 1 3 "female" 31 1 1 20.525 "S" 1 1 1
"329" 1 1 "female" 16 0 1 57.9792 "C" 1 1 1
"330" 1 3 "female" 29.6991176470588 2 0 23.25 "Q" 1 1 0
"331" 0 1 "male" 45.5 0 0 28.5 "S" 0 0 0
"332" 0 1 "male" 38 0 1 153.4625 "S" 0 0 1
"333" 0 3 "male" 16 2 0 18 "S" 0 0 0
"334" 1 1 "female" 29.6991176470588 1 0 133.65 "S" 1 1 1
"335" 0 3 "male" 29.6991176470588 0 0 7.8958 "S" 0 0 0
"336" 0 1 "male" 29 1 0 66.6 "S" 0 0 1
"337" 1 1 "female" 41 0 0 134.5 "C" 1 1 1
"338" 1 3 "male" 45 0 0 8.05 "S" 0 0 0
"339" 0 1 "male" 45 0 0 35.5 "S" 0 0 0
"340" 1 2 "male" 2 1 1 26 "S" 0 0 0
"341" 1 1 "female" 24 3 2 263 "S" 1 1 1
"342" 0 2 "male" 28 0 0 13 "S" 0 0 0
"343" 0 2 "male" 25 0 0 13 "S" 0 0 0
"344" 0 2 "male" 36 0 0 13 "S" 0 0 0
"345" 1 2 "female" 24 0 0 13 "S" 1 1 1
"346" 1 2 "female" 40 0 0 13 "S" 1 1 1
"347" 1 3 "female" 29.6991176470588 1 0 16.1 "S" 1 1 1
"348" 1 3 "male" 3 1 1 15.9 "S" 0 0 0
"349" 0 3 "male" 42 0 0 8.6625 "S" 0 0 0
"350" 0 3 "male" 23 0 0 9.225 "S" 0 0 0
"351" 0 1 "male" 29.6991176470588 0 0 35 "S" 0 0 1
"352" 0 3 "male" 15 1 1 7.2292 "C" 0 0 0
"353" 0 3 "male" 25 1 0 17.8 "S" 0 0 0
"354" 0 3 "male" 29.6991176470588 0 0 7.225 "C" 0 0 0
"355" 0 3 "male" 28 0 0 9.5 "S" 0 0 0
"356" 1 1 "female" 22 0 1 55 "S" 1 1 1
"357" 0 2 "female" 38 0 0 13 "S" 1 1 1
"358" 1 3 "female" 29.6991176470588 0 0 7.8792 "Q" 1 1 0
"359" 1 3 "female" 29.6991176470588 0 0 7.8792 "Q" 1 1 0
"360" 0 3 "male" 40 1 4 27.9 "S" 0 0 0
"361" 0 2 "male" 29 1 0 27.7208 "C" 0 0 0
"362" 0 3 "female" 45 0 1 14.4542 "C" 1 1 1
"363" 0 3 "male" 35 0 0 7.05 "S" 0 0 0
"364" 0 3 "male" 29.6991176470588 1 0 15.5 "Q" 0 0 0
"365" 0 3 "male" 30 0 0 7.25 "S" 0 0 0
"366" 1 1 "female" 60 1 0 75.25 "C" 1 1 1
"367" 1 3 "female" 29.6991176470588 0 0 7.2292 "C" 1 1 1
"368" 1 3 "female" 29.6991176470588 0 0 7.75 "Q" 1 1 0
"369" 1 1 "female" 24 0 0 69.3 "C" 1 1 1
"370" 1 1 "male" 25 1 0 55.4417 "C" 0 1 1
"371" 0 3 "male" 18 1 0 6.4958 "S" 0 0 0
"372" 0 3 "male" 19 0 0 8.05 "S" 0 0 0
"373" 0 1 "male" 22 0 0 135.6333 "C" 0 1 1
"374" 0 3 "female" 3 3 1 21.075 "S" 1 1 1
"375" 1 1 "female" 29.6991176470588 1 0 82.1708 "C" 1 1 1
"376" 1 3 "female" 22 0 0 7.25 "S" 1 1 1
"377" 0 1 "male" 27 0 2 211.5 "C" 0 0 1
"378" 0 3 "male" 20 0 0 4.0125 "C" 0 0 0
"379" 0 3 "male" 19 0 0 7.775 "S" 0 0 0
"380" 1 1 "female" 42 0 0 227.525 "C" 1 1 1
"381" 1 3 "female" 1 0 2 15.7417 "C" 1 1 1
"382" 0 3 "male" 32 0 0 7.925 "S" 0 0 0
"383" 1 1 "female" 35 1 0 52 "S" 1 1 1
"384" 0 3 "male" 29.6991176470588 0 0 7.8958 "S" 0 0 0
"385" 0 2 "male" 18 0 0 73.5 "S" 0 0 1
"386" 0 3 "male" 1 5 2 46.9 "S" 0 0 0
"387" 1 2 "female" 36 0 0 13 "S" 1 1 1
"388" 0 3 "male" 29.6991176470588 0 0 7.7292 "Q" 0 0 0
"389" 1 2 "female" 17 0 0 12 "C" 1 1 1
"390" 1 1 "male" 36 1 2 120 "S" 0 0 0
"391" 1 3 "male" 21 0 0 7.7958 "S" 0 0 0
"392" 0 3 "male" 28 2 0 7.925 "S" 0 0 0
"393" 1 1 "female" 23 1 0 113.275 "C" 1 1 1
"394" 1 3 "female" 24 0 2 16.7 "S" 1 1 1
"395" 0 3 "male" 22 0 0 7.7958 "S" 0 0 0
"396" 0 3 "female" 31 0 0 7.8542 "S" 1 1 1
"397" 0 2 "male" 46 0 0 26 "S" 0 0 0
"398" 0 2 "male" 23 0 0 10.5 "S" 0 0 0
"399" 1 2 "female" 28 0 0 12.65 "S" 1 1 1
"400" 1 3 "male" 39 0 0 7.925 "S" 0 0 0
"401" 0 3 "male" 26 0 0 8.05 "S" 0 0 0
"402" 0 3 "female" 21 1 0 9.825 "S" 1 1 1
"403" 0 3 "male" 28 1 0 15.85 "S" 0 0 0
"404" 0 3 "female" 20 0 0 8.6625 "S" 1 1 1
"405" 0 2 "male" 34 1 0 21 "S" 0 0 0
"406" 0 3 "male" 51 0 0 7.75 "S" 0 0 0
"407" 1 2 "male" 3 1 1 18.75 "S" 0 0 0
"408" 0 3 "male" 21 0 0 7.775 "S" 0 0 0
"409" 0 3 "female" 29.6991176470588 3 1 25.4667 "S" 0 0 0
"410" 0 3 "male" 29.6991176470588 0 0 7.8958 "S" 0 0 0
"411" 0 3 "male" 29.6991176470588 0 0 6.8583 "Q" 0 0 0
"412" 1 1 "female" 33 1 0 90 "Q" 1 1 1
"413" 0 2 "male" 29.6991176470588 0 0 0 "S" 0 0 0
"414" 1 3 "male" 44 0 0 7.925 "S" 0 0 0
"415" 0 3 "female" 29.6991176470588 0 0 8.05 "S" 1 1 1
"416" 1 2 "female" 34 1 1 32.5 "S" 1 1 1
